#{"t_start": 1619696001.577085, "env_id": "seir-v0"}
r,l,t
-0.268915,25,1.998965
-0.366745,25,4.042964
-0.354745,25,5.806963
-0.33235,25,7.221963
-0.487356,25,8.653963
-0.489619,25,9.935964
-0.321858,25,11.249963
-0.288175,25,12.659963
-0.421384,25,14.080965
-0.293985,25,15.488965
-0.337982,25,16.859964
-0.282886,25,18.195962
-0.312484,25,19.573963
-0.363558,25,21.032963
-0.246873,25,22.402965
-0.427724,25,23.738995
-0.323733,25,25.125962
-0.321893,25,26.369963
-0.447988,25,27.795963
-0.331551,25,29.125963
-0.428815,25,30.618962
-0.185328,25,32.010962
-0.290916,25,33.309963
-0.40664,25,34.685963
-0.39462,25,36.105963
-0.579461,25,37.428962
-0.197893,25,38.756962
-0.48144,25,40.207962
-0.318585,25,41.568964
-0.312519,25,42.939964
-0.289548,25,44.224964
-0.479829,25,45.593963
-0.270415,25,46.861965
-0.365392,25,48.252963
-0.385339,25,49.583965
-0.472702,25,50.955964
-0.315267,25,52.242962
-0.322152,25,53.604963
-0.219995,25,54.951964
-0.335786,25,56.367962
-0.36337,25,57.842965
-0.383923,25,59.341964
-0.376207,25,60.717964
-0.439358,25,62.221963
-0.442834,25,63.598963
-0.313034,25,65.051963
-0.43985,25,66.508963
-0.375252,25,67.903962
-0.39489,25,69.299963
-0.48636,25,70.626962
-0.368363,25,71.989963
-0.391664,25,73.414963
-0.439201,25,74.810965
-0.339035,25,76.258963
-0.293328,25,77.579964
-0.381405,25,78.945964
-0.47705,25,80.601963
-0.422922,25,82.247963
-0.491108,25,83.835964
-0.348039,25,85.196965
-0.309781,25,86.682963
-0.312293,25,87.998963
-0.485976,25,89.526962
-0.319264,25,90.891963
-0.224105,25,92.321994
-0.494009,25,93.568962
-0.27021,25,94.965964
-0.405256,25,96.288965
-0.431609,25,97.689963
-0.391074,25,99.011963
-0.402554,25,100.416966
-0.400938,25,101.778963
-0.301352,25,103.132964
-0.545109,25,104.551963
-0.249402,25,105.873991
-0.528282,25,107.363964
-0.293284,25,108.725962
-0.203969,25,110.206966
-0.351864,25,111.585964
-0.418444,25,112.995963
-0.460898,25,114.503964
-0.354365,25,120.157962
-0.309935,25,121.539963
-0.296232,25,123.029962
-0.236696,25,124.359964
-0.374956,25,125.731965
-0.172286,25,127.061964
-0.263617,25,128.529964
-0.345666,25,129.894963
-0.279718,25,131.323963
-0.454625,25,132.710962
-0.18397,25,134.114963
-0.288876,25,135.549963
-0.291937,25,136.922963
-0.255147,25,138.268963
-0.375042,25,139.621962
-0.243593,25,141.032964
-0.270102,25,142.346962
-0.240421,25,143.691963
-0.228559,25,145.165963
-0.222282,25,146.513963
-0.338661,25,147.876963
-0.359221,25,149.428963
-0.3582,25,150.833964
-0.440205,25,152.303964
-0.209935,25,153.659963
-0.200423,25,155.123965
-0.306635,25,156.453962
-0.128502,25,157.879965
-0.359676,25,159.266963
-0.367972,25,160.718963
-0.248454,25,162.253963
-0.328371,25,163.725965
-0.340388,25,165.096965
-0.313833,25,166.525966
-0.267224,25,167.918962
-0.198349,25,169.438962
-0.228741,25,170.805962
-0.239779,25,172.308962
-0.213649,25,173.652994
-0.408313,25,175.186963
-0.264501,25,176.552962
-0.164959,25,177.871962
-0.20989,25,179.182963
-0.317929,25,180.641962
-0.153874,25,182.045965
-0.382781,25,183.408964
-0.273287,25,184.859963
-0.108369,25,186.208962
-0.218472,25,187.688962
-0.265833,25,189.029965
-0.276928,25,190.467962
-0.252704,25,191.817962
-0.328206,25,193.172964
-0.272814,25,194.520964
-0.358673,25,195.899965
-0.396119,25,197.266965
-0.305941,25,198.558966
-0.327153,25,199.840964
-0.320279,25,201.336962
-0.286454,25,202.722963
-0.418777,25,204.141964
-0.228858,25,205.523966
-0.13397,25,207.035963
-0.269749,25,208.490009
-0.308996,25,209.985964
-0.231143,25,211.346963
-0.195453,25,212.834963
-0.184764,25,214.257964
-0.236485,25,215.693963
-0.252119,25,217.107962
-0.297706,25,218.504962
-0.506397,25,219.971962
-0.205608,25,221.305965
-0.226304,25,222.804962
-0.419504,25,224.119963
-0.277839,25,225.630965
-0.357309,25,226.976965
-0.442925,25,228.364963
-0.273014,25,229.775964
-0.126179,25,231.362963
-0.295592,25,232.755964
-0.215672,25,234.367964
-0.309787,25,240.046964
-0.257243,25,241.526965
-0.237367,25,242.938962
-0.172289,25,244.492964
-0.236263,25,245.897964
-0.078784,25,247.328964
-0.26159,25,248.692964
-0.173696,25,250.192964
-0.263764,25,251.548964
-0.199327,25,253.076962
-0.17193,25,254.361965
-0.144168,25,255.790994
-0.284617,25,257.269993
-0.147302,25,258.641991
-0.167223,25,260.041964
-0.146121,25,261.471969
-0.134667,25,263.264964
-0.169545,25,264.651963
-0.438585,25,266.246962
-0.119031,25,267.607962
-0.138578,25,269.085962
-0.421006,25,270.547963
-0.138951,25,272.031963
-0.236406,25,273.369962
-0.175264,25,274.776963
-0.172181,25,276.160963
-0.19507,25,277.598963
-0.242713,25,278.943964
-0.1702,25,280.386965
-0.152763,25,281.820962
-0.247735,25,283.265962
-0.18525,25,284.603992
-0.185593,25,286.030963
-0.391817,25,287.398962
-0.12103,25,288.820963
-0.180633,25,290.230962
-0.326815,25,291.612963
-0.202716,25,293.223962
-0.312456,25,294.616966
-0.164978,25,295.977963
-0.095754,25,297.330963
-0.222936,25,298.726963
-0.151373,25,300.060966
-0.255589,25,301.448964
-0.153698,25,302.859963
-0.143863,25,304.178964
-0.111819,25,305.609962
-0.131233,25,307.086962
-0.340734,25,308.364966
-0.127291,25,309.780963
-0.185913,25,311.176962
-0.236436,25,312.515963
-0.213416,25,313.840964
-0.11519,25,315.229964
-0.178459,25,316.623965
-0.097234,25,318.015963
-0.296522,25,319.427962
-0.160521,25,320.785964
-0.217865,25,322.162963
-0.08976,25,323.631963
-0.158203,25,324.996963
-0.186852,25,326.342963
-0.152715,25,327.727962
-0.248924,25,329.129963
-0.180011,25,330.564962
-0.300326,25,331.998963
-0.102162,25,333.425963
-0.114628,25,334.784962
-0.28056,25,336.165962
-0.183018,25,337.503963
-0.136294,25,338.902963
-0.114715,25,340.279969
-0.321124,25,341.758962
-0.104789,25,343.117008
-0.133792,25,344.596964
-0.146729,25,346.010962
-0.426505,25,347.530963
-0.177619,25,349.118963
-0.197583,25,350.547964
-0.277289,25,352.004993
-0.104377,25,353.512963
-0.131657,25,354.845962
-0.143227,25,360.672962
-0.090167,25,362.046966
-0.05974,25,363.439964
-0.189088,25,364.796964
-0.170305,25,366.145963
-0.103486,25,367.502962
-0.252981,25,368.914964
-0.138681,25,370.316962
-0.178556,25,371.631963
-0.141209,25,373.121962
-0.159432,25,374.518963
-0.31729,25,375.895963
-0.142822,25,377.304963
-0.292843,25,378.673962
-0.406499,25,380.066962
-0.361737,25,381.502964
-0.065507,25,383.101963
-0.116561,25,384.480963
-0.122478,25,385.817964
-0.166018,25,387.296963
-0.182167,25,388.616009
-0.09315,25,389.876963
-0.214582,25,391.241963
-0.202962,25,392.725962
-0.208699,25,394.021963
-0.224592,25,395.437967
-0.102381,25,396.725965
-0.076961,25,398.099964
-0.335312,25,399.515963
-0.142514,25,400.991963
-0.068761,25,402.440963
-0.074205,25,403.820964
-0.118645,25,405.262475
-0.200708,25,406.549962
-0.060344,25,407.940964
-0.119268,25,409.526963
-0.153382,25,410.996964
-0.174315,25,412.388962
-0.110053,25,413.773962
-0.236526,25,415.220963
-0.17415,25,416.670964
-0.152811,25,418.115962
-0.356572,25,419.543964
-0.152669,25,420.826963
-0.360797,25,422.245963
-0.135567,25,423.593964
-0.201972,25,425.018962
-0.121765,25,426.380963
-0.217061,25,427.748964
-0.115733,25,429.174966
-0.060114,25,430.561964
-0.117571,25,431.905963
-0.269551,25,433.346964
-0.076873,25,434.663962
-0.197252,25,436.098963
-0.110206,25,437.51658
-0.456233,25,438.992029
-0.208362,25,440.457377
-0.068385,25,441.932655
-0.420957,25,443.352654
-0.48524,25,445.038653
-0.160415,25,446.598657
-0.262259,25,448.021653
-0.045601,25,449.572652
-0.118139,25,450.948654
-0.110604,25,452.358653
-0.103296,25,453.723653
-0.098055,25,455.184684
-0.269576,25,456.477652
-0.257112,25,457.854654
-0.17673,25,459.291653
-0.118792,25,460.746654
-0.102173,25,462.021652
-0.176108,25,463.611656
-0.157105,25,465.057653
-0.078321,25,466.645653
-0.107575,25,468.024652
-0.167465,25,469.491652
-0.046598,25,470.959655
-0.147198,25,472.302653
-0.10947,25,473.714654
-0.161909,25,475.125654
-0.39094,25,481.197654
-0.154304,25,482.61869
-0.155924,25,483.988652
-0.110143,25,485.392653
-0.044593,25,486.792654
-0.12748,25,488.224653
-0.04174,25,489.552653
-0.038895,25,490.917654
-0.070444,25,492.360653
-0.048589,25,493.738655
-0.383527,25,495.190653
-0.057797,25,496.551653
-0.033154,25,497.935652
-0.102264,25,499.290653
-0.346686,25,500.741654
-0.038526,25,502.208654
-0.050314,25,503.637652
-0.049321,25,505.083654
-0.369849,25,506.496652
-0.0777,25,507.841656
-0.097599,25,509.253654
-0.060313,25,510.571699
-0.173434,25,511.945684
-0.079547,25,513.356655
-0.170078,25,514.657653
-0.134942,25,516.082653
-0.088498,25,517.489654
-0.101515,25,518.940658
-0.218773,25,520.343655
-0.050986,25,521.713658
-0.114826,25,523.062654
-0.096496,25,524.524652
-0.092975,25,525.903652
-0.052179,25,527.536654
-0.14119,25,528.979656
-0.249573,25,530.502654
-0.052278,25,531.943653
-0.333413,25,533.374654
-0.079761,25,534.710685
-0.103998,25,536.137656
-0.106781,25,537.642654
-0.1778,25,539.093682
-0.050089,25,540.454654
-0.06242,25,541.897653
-0.090544,25,543.298653
-0.080186,25,544.723653
-0.045025,25,546.043653
-0.042463,25,547.415656
-0.23278,25,548.856656
-0.064843,25,550.227654
-0.05312,25,551.738654
-0.07198,25,553.094682
-0.182476,25,554.573655
-0.110967,25,555.966685
-0.102346,25,557.421653
-0.0873,25,558.725654
-0.067929,25,560.107655
-0.21636,25,561.450653
-0.197422,25,562.943652
-0.17686,25,564.374653
-0.060311,25,565.749654
-0.033364,25,567.139653
-0.073605,25,568.554654
-0.126293,25,569.945652
-0.335844,25,571.418653
-0.066125,25,572.751652
-0.06288,25,574.259655
-0.07032,25,575.646683
-0.051826,25,577.060652
-0.060577,25,578.385654
-0.072649,25,579.910656
-0.227087,25,581.720653
-0.092848,25,583.305654
-0.067119,25,584.921654
-0.084943,25,586.334655
-0.057606,25,587.749652
-0.078018,25,589.123654
-0.072917,25,590.594653
-0.108937,25,592.011654
-0.074565,25,593.413652
-0.068791,25,594.765653
-0.074902,25,596.148654
-0.057389,25,602.542684
-0.063975,25,604.167654
-0.066012,25,605.737652
-0.061949,25,607.442654
-0.059285,25,609.411654
-0.043153,25,611.195654
-0.25863,25,612.727654
-0.123623,25,614.446656
-0.022488,25,616.072654
-0.078876,25,617.783653
-0.097246,25,619.496655
-0.214367,25,621.280654
-0.30908,25,622.916654
-0.038713,25,624.709653
-0.052434,25,626.692655
-0.14332,25,628.120653
-0.054126,25,629.635652
-0.068667,25,630.995653
-0.128343,25,632.515653
-0.086051,25,634.016654
-0.172584,25,635.505652
-0.087841,25,636.952655
-0.052364,25,638.560653
-0.047356,25,640.011652
-0.053921,25,641.628655
-0.028251,25,642.980656
-0.067907,25,644.439653
-0.09506,25,645.934653
-0.078439,25,647.481656
-0.084497,25,648.934657
-0.03889,25,650.483656
-0.113398,25,652.218654
-0.119308,25,653.763657
-0.029881,25,655.330652
-0.129234,25,656.850655
-0.227587,25,658.398654
-0.078941,25,659.945655
-0.038254,25,661.378656
-0.05766,25,662.786654
-0.032325,25,664.136655
-0.224879,25,665.485653
-0.109918,25,667.010654
-0.280038,25,668.559654
-0.052697,25,670.040655
-0.026617,25,671.640685
-0.038226,25,673.164652
-0.108541,25,674.532652
-0.383835,25,675.882684
-0.226519,25,677.283653
-0.14102,25,678.601652
-0.049379,25,680.031654
-0.1708,25,681.593657
-0.193843,25,683.094653
-0.269187,25,684.552654
-0.044642,25,686.072654
-0.114335,25,687.599653
-0.054134,25,688.953653
-0.065247,25,690.310654
-0.002676,25,691.633653
-0.080294,25,693.177655
-0.225249,25,694.712654
-0.189558,25,696.141654
-0.078069,25,697.454653
-0.026437,25,698.808655
-0.142368,25,700.174655
-0.069281,25,701.503654
-0.051836,25,702.849654
-0.046932,25,704.133653
-0.048659,25,705.556654
-0.073496,25,706.874655
-0.039262,25,708.164654
-0.095293,25,709.590652
-0.214147,25,711.062653
-0.062028,25,712.422654
-0.217419,25,713.878653
-0.058819,25,715.239653
-0.049541,25,716.581652
-0.1789,25,717.975654
-0.06667,25,719.457654
-0.056201,25,720.840683
-0.261645,25,722.292653
-0.122235,25,723.616653
-0.038565,25,729.705654
-0.249486,25,731.105654
-0.146927,25,732.520654
-0.085778,25,733.883656
-0.027625,25,735.352653
-0.115728,25,736.783656
-0.34962,25,738.189684
-0.058093,25,739.525653
-0.079424,25,740.882654
-0.146729,25,742.326655
-0.069316,25,743.654653
-0.045475,25,745.093652
-0.034654,25,746.537653
-0.076144,25,747.977656
-0.183846,25,749.395656
-0.198424,25,750.791684
-0.041313,25,752.086652
-0.174896,25,753.506654
-0.10764,25,754.903655
-0.046283,25,756.334658
-0.208164,25,757.740654
-0.038992,25,759.160654
-0.116878,25,760.481655
-0.026913,25,761.901654
-0.036903,25,763.329654
-0.029343,25,764.805654
-0.232681,25,766.210654
-0.026104,25,767.582653
-0.146785,25,768.936654
-0.046904,25,770.500654
-0.040694,25,771.849653
-0.138826,25,773.308653
-0.025946,25,774.648654
-0.040667,25,775.966653
-0.235921,25,777.516652
-0.219766,25,778.824656
-0.109046,25,780.320653
-0.273203,25,781.819655
-0.040949,25,783.238654
-0.056025,25,784.591653
-0.063192,25,786.021656
-0.148031,25,787.408654
-0.054073,25,788.731652
-0.122758,25,790.136655
-0.144331,25,791.580652
-0.035624,25,792.960654
-0.086158,25,794.336656
-0.039595,25,795.688653
-0.034307,25,797.002652
-0.104022,25,798.253653
-0.051083,25,799.624653
-0.066428,25,800.932656
-0.044228,25,802.453653
-0.031887,25,803.750654
-0.051471,25,805.105655
-0.066813,25,806.430657
-0.169942,25,808.227653
-0.143773,25,809.672683
-0.067653,25,811.105653
-0.046244,25,812.524654
-0.320509,25,813.834654
-0.056965,25,815.183654
-0.025091,25,816.481653
-0.019917,25,818.013657
-0.201707,25,819.451654
-0.088059,25,820.735685
-0.136398,25,822.095654
-0.223229,25,823.495654
-0.072732,25,824.870654
-0.069594,25,826.409654
-0.104564,25,827.732656
-0.057848,25,829.013652
-0.292566,25,830.331685
-0.183232,25,831.744653
-0.163783,25,833.177654
-0.0464,25,834.774685
-0.038254,25,836.109656
-0.039744,25,837.551652
-0.110947,25,838.965653
-0.078332,25,840.413654
-0.018907,25,841.752655
-0.078477,25,843.215655
-0.027545,25,849.438653
-0.036368,25,850.799653
-0.022912,25,852.109652
-0.186458,25,853.448654
-0.100787,25,854.807654
-0.024908,25,856.169655
-0.017841,25,857.617654
-0.143992,25,859.015654
-0.260237,25,860.409655
-0.013213,25,861.815654
-0.137579,25,863.152653
-0.084633,25,864.534654
-0.090774,25,865.959652
-0.013035,25,867.344655
-0.037827,25,868.781652
-0.035058,25,870.112653
-0.116836,25,871.507653
-0.096193,25,872.886699
-0.042768,25,874.421652
-0.021521,25,875.849655
-0.156628,25,877.273652
-0.185299,25,878.578655
-0.105564,25,879.991653
-0.024227,25,881.380653
-0.137585,25,882.800656
-0.039466,25,884.063653
-0.01375,25,885.424656
-0.089043,25,886.897656
-0.032872,25,888.344652
-0.273881,25,889.734653
-0.196418,25,891.040654
-0.191414,25,892.399653
-0.083757,25,893.720682
-0.276748,25,895.191653
-0.254936,25,896.575653
-0.015994,25,898.006654
-0.043524,25,899.382654
-0.084399,25,900.751654
-0.020088,25,902.111654
-0.032065,25,903.555653
-0.02644,25,904.914654
-0.167071,25,906.297656
-0.031994,25,907.664655
-0.031208,25,909.021656
-0.008361,25,910.383653
-0.053826,25,911.760653
-0.023209,25,913.058653
-0.04001,25,914.435653
-0.056612,25,915.783653
-0.119487,25,917.211683
-0.025613,25,918.556656
-0.050578,25,919.847654
-0.135856,25,921.297653
-0.214799,25,922.677656
-0.039451,25,924.199654
-0.050115,25,925.499654
-0.013278,25,926.824657
