#{"t_start": 1620197794.2328277, "env_id": "seir-v0"}
r,l,t
-0.09443,25,1.599648
-0.108521,25,3.115221
-0.10749,25,4.63204
-0.241364,25,6.068588
-0.344992,25,7.459033
-0.389606,25,8.927806
-0.114363,25,10.318383
-0.100006,25,11.853082
-0.133882,25,13.287262
-0.099913,25,14.803084
-0.165962,25,16.193516
-0.083079,25,17.717896
-0.084366,25,19.123568
-0.098323,25,20.587957
-0.248119,25,22.036401
-0.116798,25,23.553171
-0.176421,25,25.005531
-0.151848,25,26.459172
-0.144273,25,27.956342
-0.369606,25,29.514581
-0.512682,25,31.004329
-0.051176,25,32.378597
-0.090092,25,33.835674
-0.124073,25,35.222528
-0.122978,25,36.644153
-0.359448,25,38.013749
-0.054012,25,39.507305
-0.270004,25,41.017534
-0.178631,25,42.490988
-0.159221,25,44.126101
-0.14177,25,45.636853
-0.433018,25,47.129138
-0.117915,25,48.590543
-0.122875,25,50.144751
-0.111964,25,51.624692
-0.185987,25,53.150633
-0.093274,25,54.625724
-0.133991,25,56.204229
-0.068684,25,57.753528
-0.14025,25,59.223028
-0.097721,25,60.819451
-0.630622,25,62.522014
-0.120114,25,63.970601
-0.471678,25,65.47075
-0.6136,25,67.050808
-0.160868,25,68.536435
-0.118233,25,70.050546
-0.210484,25,71.697087
-0.329381,25,73.290028
-0.28575,25,74.74439
-0.281865,25,76.223747
-0.263004,25,77.80629
-0.153527,25,79.215515
-0.16933,25,80.70179
-0.172551,25,82.12974
-0.547824,25,83.684977
-0.218587,25,85.128957
-0.419083,25,86.764441
-0.170146,25,88.340992
-0.32894,25,90.041885
-0.150461,25,91.587209
-0.083755,25,93.159851
-0.377947,25,94.630608
-0.143435,25,96.171709
-0.06315,25,97.671384
-0.459709,25,99.116636
-0.079888,25,100.659378
-0.119644,25,102.233209
-0.446881,25,103.892203
-0.149002,25,105.4789
-0.22311,25,107.085342
-0.124512,25,108.61613
-0.123486,25,110.210779
-0.604542,25,111.869615
-0.237525,25,113.665911
-0.419901,25,115.47584
-0.097668,25,117.163288
-0.054771,25,118.973027
-0.247755,25,120.68659
-0.442126,25,122.349257
-0.185586,25,123.944068
-0.124961,25,129.782007
-0.280788,25,131.247212
-0.359187,25,132.790914
-0.221346,25,134.250062
-0.369132,25,135.733918
-0.04681,25,137.154864
-0.142398,25,138.7094
-0.134493,25,140.240707
-0.149348,25,141.602144
-0.24752,25,143.081647
-0.078782,25,144.55756
-0.214613,25,146.093141
-0.130728,25,147.566269
-0.069056,25,149.107001
-0.375825,25,150.569873
-0.128716,25,152.100255
-0.078744,25,153.560453
-0.155898,25,155.085975
-0.317092,25,156.632693
-0.226576,25,158.100986
-0.161379,25,159.656717
-0.305563,25,161.250097
-0.416507,25,163.032196
-0.495238,25,164.467935
-0.086593,25,166.076785
-0.13915,25,167.683223
-0.091084,25,169.363167
-0.068833,25,170.855391
-0.384864,25,172.432889
-0.149816,25,173.994557
-0.066324,25,175.511739
-0.359429,25,177.039014
-0.135986,25,178.461539
-0.120207,25,179.983751
-0.130305,25,181.498693
-0.111528,25,183.024697
-0.077986,25,184.493476
-0.111361,25,186.033631
-0.120983,25,187.48586
-0.117379,25,188.986255
-0.403644,25,190.436153
-0.057654,25,192.037386
-0.160994,25,193.656277
-0.242885,25,195.089268
-0.04395,25,196.568366
-0.147076,25,198.186748
-0.144002,25,199.797252
-0.029132,25,201.169716
-0.06381,25,202.645543
-0.204504,25,204.098719
-0.157443,25,205.625682
-0.114063,25,207.103362
-0.225917,25,208.729136
-0.176166,25,210.393081
-0.176117,25,212.037233
-0.482926,25,213.62508
-0.082116,25,215.275094
-0.093937,25,216.837476
-0.283887,25,218.335309
-0.125076,25,219.877424
-0.257039,25,221.268671
-0.153099,25,222.736453
-0.034613,25,224.272496
-0.085108,25,226.035707
-0.280716,25,227.603509
-0.090094,25,229.082508
-0.083574,25,230.713845
-0.04937,25,232.396367
-0.065396,25,233.982738
-0.152048,25,235.772017
-0.261302,25,237.544085
-0.541662,25,239.224801
-0.084614,25,240.936423
-0.201079,25,242.614569
-0.395395,25,244.419638
