#{"t_start": 1619710822.9807315, "env_id": "seir-v0"}
r,l,t
-0.139221,25,2.116878
-0.178291,25,4.44005
-0.172412,25,5.974963
-0.249368,25,7.611303
-0.310613,25,9.252867
-0.290513,25,11.090636
-0.168549,25,13.105049
-0.149301,25,14.759822
-0.209473,25,16.386419
-0.149195,25,18.427918
-0.203876,25,20.301455
-0.136474,25,22.574172
-0.146453,25,24.457306
-0.170435,25,26.317509
-0.218071,25,28.0056
-0.201239,25,29.758252
-0.2068,25,31.45257
-0.189647,25,33.056192
-0.220947,25,34.818088
-0.320305,25,36.731834
-0.416448,25,38.471705
-0.087448,25,40.100743
-0.142983,25,41.957162
-0.195414,25,43.705844
-0.194432,25,45.463166
-0.361784,25,46.990836
-0.092986,25,48.666012
-0.314407,25,50.453172
-0.200337,25,52.246594
-0.19234,25,53.979718
-0.177406,25,55.604747
-0.411409,25,57.230211
-0.155281,25,59.080031
-0.185201,25,60.888849
-0.184831,25,62.69324
-0.256533,25,64.515512
-0.152746,25,66.592155
-0.173444,25,68.481026
-0.109312,25,70.296421
-0.186986,25,72.070029
-0.16998,25,73.804415
-0.469381,25,75.501733
-0.187219,25,77.068154
-0.317524,25,78.673209
-0.486667,25,80.430837
-0.18659,25,82.001959
-0.205822,25,83.529033
-0.233819,25,85.177982
-0.282197,25,86.737249
-0.325,25,88.345316
-0.274847,25,89.883911
-0.269782,25,91.515847
-0.224915,25,93.114433
-0.204707,25,94.945013
-0.202113,25,96.846774
-0.356712,25,98.640746
-0.281368,25,100.287218
-0.367531,25,101.896677
-0.252278,25,103.414851
-0.254096,25,105.099528
-0.183405,25,106.677115
-0.146038,25,108.258386
-0.343122,25,109.879194
-0.157985,25,111.460302
-0.106589,25,113.016778
-0.362264,25,114.61647
-0.130212,25,116.247354
-0.195227,25,117.754605
-0.377268,25,119.396345
-0.207319,25,120.912609
-0.245058,25,122.452836
-0.197049,25,124.032699
-0.167174,25,125.585947
-0.468787,25,127.057831
-0.210975,25,128.692214
-0.376738,25,130.162321
-0.147638,25,131.730944
-0.095376,25,133.322709
-0.255638,25,135.038905
-0.316762,25,136.591763
-0.24599,25,138.202209
-0.184336,25,144.743807
-0.257343,25,146.469565
-0.304763,25,147.998154
-0.203975,25,149.697404
-0.333306,25,151.318139
-0.080932,25,152.931425
-0.166986,25,154.531772
-0.185807,25,156.02395
-0.170195,25,157.648952
-0.279637,25,159.161198
-0.108345,25,160.702532
-0.209939,25,162.207874
-0.168215,25,164.005106
-0.119657,25,165.61296
-0.33342,25,167.262718
-0.146376,25,168.881429
-0.129913,25,170.510244
-0.154802,25,172.045092
-0.272888,25,173.588164
-0.201485,25,175.544876
-0.157854,25,177.407037
-0.286845,25,179.109762
-0.379406,25,180.840427
-0.327221,25,182.446465
-0.107723,25,184.016308
-0.143094,25,185.654054
-0.144738,25,187.450842
-0.083411,25,189.021597
-0.334875,25,190.701595
-0.203246,25,192.801182
-0.115982,25,194.692277
-0.328572,25,196.763513
-0.184339,25,199.131872
-0.16934,25,201.236093
-0.164973,25,203.193423
-0.130525,25,205.228093
-0.116096,25,207.261807
-0.143124,25,209.0403
-0.124466,25,210.708369
-0.20345,25,212.490219
-0.352599,25,214.130883
-0.087185,25,216.037671
-0.163797,25,217.697597
-0.230853,25,219.405016
-0.073297,25,221.355053
-0.194082,25,223.264487
-0.16848,25,225.461328
-0.050701,25,227.491508
-0.104822,25,229.313771
-0.208022,25,231.171139
-0.177345,25,232.911927
-0.142598,25,234.743004
-0.230294,25,236.403219
-0.198874,25,238.139196
-0.219573,25,239.793597
-0.412557,25,241.386503
-0.128219,25,243.476764
-0.15624,25,245.312118
-0.25927,25,247.477034
-0.157212,25,249.357285
-0.283032,25,251.290384
-0.161795,25,253.091667
-0.059851,25,255.245932
-0.127198,25,257.286583
-0.257932,25,259.322656
-0.122103,25,261.234259
-0.098361,25,263.414698
-0.086288,25,265.196998
-0.111702,25,267.122483
-0.159171,25,268.853098
-0.249502,25,271.140459
-0.408553,25,273.000738
-0.11063,25,274.756461
-0.175046,25,276.513371
-0.328874,25,278.333477
-0.136803,25,279.826079
-0.23237,25,281.324605
-0.233185,25,282.843991
-0.174428,25,284.411148
-0.066305,25,285.867297
-0.316934,25,287.371561
-0.119004,25,289.365922
-0.186285,25,295.978214
-0.222939,25,297.678867
-0.123124,25,299.243548
-0.068999,25,300.864801
-0.243276,25,302.370051
-0.063059,25,304.148967
-0.215644,25,305.662523
-0.095973,25,307.337794
-0.185777,25,308.942548
-0.081427,25,310.673977
-0.090438,25,312.354781
-0.09214,25,314.007072
-0.265506,25,315.621719
-0.154547,25,317.460532
-0.104073,25,319.311474
-0.102265,25,321.153729
-0.052357,25,322.73108
-0.110764,25,324.375992
-0.455384,25,326.179348
-0.081189,25,327.747874
-0.085545,25,329.301784
-0.370767,25,330.934394
-0.086493,25,332.50633
-0.282055,25,334.102553
-0.097812,25,335.724026
-0.133129,25,337.295893
-0.119816,25,338.953
-0.09077,25,340.580588
-0.086569,25,342.10123
-0.150624,25,343.621176
-0.257728,25,345.186856
-0.133381,25,346.817424
-0.147096,25,348.366184
-0.326954,25,350.045542
-0.056481,25,351.671815
-0.103934,25,353.394482
-0.242557,25,355.062576
-0.092073,25,356.666092
-0.343654,25,358.244405
-0.111812,25,359.912179
-0.05497,25,361.576279
-0.317101,25,363.282296
-0.096944,25,365.204931
-0.249446,25,366.964375
-0.114743,25,368.713235
-0.116016,25,370.288943
-0.058789,25,371.997673
-0.079242,25,373.544554
-0.352268,25,375.30583
-0.147401,25,377.095688
-0.123116,25,378.769819
-0.177627,25,380.399608
-0.13784,25,381.953162
-0.054664,25,383.519496
-0.071569,25,385.212118
-0.048118,25,386.905123
-0.319931,25,388.551655
-0.149094,25,390.290026
-0.258021,25,392.040974
-0.037027,25,393.785868
-0.120961,25,395.378244
-0.156635,25,397.11654
-0.070922,25,398.679026
-0.164912,25,400.613171
-0.074229,25,402.308779
-0.176017,25,404.190678
-0.036216,25,405.721758
-0.056012,25,407.391921
-0.151957,25,408.971364
-0.093555,25,410.765469
-0.055888,25,412.320431
-0.053621,25,413.98091
-0.367313,25,415.532721
-0.100238,25,417.12331
-0.06247,25,418.687116
-0.121462,25,420.322459
-0.344802,25,422.017384
-0.092327,25,423.501672
-0.092418,25,425.013841
-0.216452,25,426.665657
-0.095916,25,428.171152
-0.097785,25,429.896322
-0.08184,25,436.324172
-0.046265,25,437.791155
-0.04527,25,439.722588
-0.18156,25,441.482007
-0.100264,25,443.121502
-0.052398,25,444.765028
-0.290844,25,446.707155
-0.082731,25,448.418035
-0.221752,25,450.070077
-0.140814,25,451.751637
-0.095192,25,453.499427
-0.150314,25,455.114172
-0.165504,25,456.881922
-0.331426,25,458.73834
-0.247355,25,460.343097
-0.349505,25,461.737885
-0.032719,25,463.203558
-0.156579,25,464.741545
-0.103922,25,466.195239
-0.217884,25,467.618108
-0.138211,25,469.084787
-0.055649,25,470.615966
-0.196176,25,472.129735
-0.345742,25,473.634869
-0.193929,25,475.031446
-0.305885,25,476.582398
-0.048612,25,478.031991
-0.039583,25,479.558735
-0.342503,25,480.992372
-0.177973,25,482.373025
-0.066396,25,483.882226
-0.066983,25,485.313913
-0.066563,25,486.800395
-0.21087,25,488.415529
-0.032551,25,489.785016
-0.185773,25,491.349563
-0.059421,25,492.928822
-0.104135,25,494.621438
-0.067408,25,496.087402
-0.215554,25,497.615172
-0.191854,25,499.377519
-0.117724,25,500.986818
-0.483678,25,502.905857
-0.077109,25,504.750549
-0.162095,25,506.655428
-0.18341,25,508.261931
-0.206824,25,509.905399
-0.078917,25,511.441488
-0.076095,25,513.073734
-0.055854,25,514.532331
-0.047546,25,516.221352
-0.035752,25,517.982175
-0.273335,25,519.696056
-0.039519,25,521.33982
-0.316947,25,523.140495
-0.075147,25,524.794321
-0.265549,25,526.531679
-0.120277,25,528.266313
-0.048769,25,530.01246
-0.379655,25,531.921532
-0.307698,25,533.651882
-0.073896,25,535.109536
-0.324587,25,536.671387
-0.023211,25,538.178199
-0.036304,25,539.84139
-0.05596,25,541.361279
-0.038401,25,542.983423
-0.104186,25,544.93854
