#{"t_start": 1620319436.9805715, "env_id": "seir-cd-v0"}
r,l,t
-0.146511,25,2.412354
-0.192096,25,4.560597
-0.18685,25,6.638784
-0.228471,25,8.917907
-0.332171,25,11.132784
-0.355002,25,13.08319
-0.175821,25,15.162268
-0.156496,25,17.187657
-0.224212,25,19.692654
-0.159032,25,22.11178
-0.202013,25,24.461673
-0.147985,25,26.505723
-0.160643,25,28.525414
-0.186957,25,30.3691
-0.195386,25,32.444366
-0.22039,25,34.643342
-0.200117,25,36.633526
-0.189842,25,38.41314
-0.239369,25,40.09714
-0.275594,25,41.872139
-0.371428,25,43.724141
-0.0957,25,45.683137
-0.153948,25,47.80214
-0.214655,25,50.028136
-0.209222,25,52.049358
-0.374806,25,54.195605
-0.101956,25,56.164339
-0.30023,25,58.148474
-0.198727,25,60.117249
-0.188882,25,61.928278
-0.172858,25,64.275751
-0.360479,25,66.134957
-0.155977,25,68.283187
-0.197125,25,70.328289
-0.201085,25,72.185817
-0.265103,25,74.673141
-0.165157,25,76.772474
-0.183601,25,78.694445
-0.116575,25,80.515465
-0.191631,25,82.515124
