Wall time,Step,Value
1619683899.7902436,2048,-0.29460039734840393
1619684020.960241,4096,-0.24802610278129578
1619684141.3222425,6144,-0.19302645325660706
1619684262.315208,8192,-0.16452084481716156
1619684382.4472098,10240,-0.1263599842786789
1619684510.0588915,12288,-0.12318955361843109
1619684629.790891,14336,-0.12771670520305634
1619684751.4258916,16384,-0.11579830199480057
1619684872.7628908,18432,-0.10295794904232025
1619684992.548893,20480,-0.11348017305135727
1619685113.7758138,22528,-0.11488103121519089
1619685235.0038142,24576,-0.0926838368177414
1619685360.0356715,26624,-0.09510760009288788
1619685480.9246697,28672,-0.09485162049531937
1619685600.7066689,30720,-0.1066693365573883
1619685726.9873886,32768,-0.10931593179702759
1619685850.9193888,34816,-0.09639284014701843
1619685972.42239,36864,-0.09358063340187073
1619686094.0543892,38912,-0.08370261639356613
1619686219.8016076,40960,-0.08566345274448395
1619686341.667198,43008,-0.08589663356542587
1619686464.8126569,45056,-0.09858468919992447
1619686588.4076555,47104,-0.07774984836578369
1619686711.9369133,49152,-0.06931190937757492
1619686833.3759143,51200,-0.08712843060493469
1619686956.2426407,53248,-0.09139876067638397
1619687078.9406426,55296,-0.08367904275655746
1619687202.2946422,57344,-0.08819027990102768
1619687325.0016413,59392,-0.08071184158325195
1619687447.5571082,61440,-0.09883707761764526
1619687571.0921073,63488,-0.08365502208471298
1619687693.5971081,65536,-0.09096738696098328
1619687815.746111,67584,-0.10469085723161697
1619687936.4941082,69632,-0.10232458263635635
1619688060.4353955,71680,-0.08237522095441818
1619688185.956472,73728,-0.08062271028757095
1619688311.2107866,75776,-0.07798215001821518
1619688440.8024294,77824,-0.09630990028381348
1619688562.9724298,79872,-0.08526863902807236
1619688684.8347497,81920,-0.08783771842718124
1619688805.9057512,83968,-0.09398321062326431
1619688927.1327534,86016,-0.09196130931377411
1619689048.43375,88064,-0.08888167142868042
1619689170.5667524,90112,-0.07596974074840546
1619689292.4584904,92160,-0.09823738783597946
1619689416.99546,94208,-0.09988308697938919
1619689540.1804614,96256,-0.08870027959346771
1619689661.1974618,98304,-0.095905601978302
1619689784.1984608,100352,-0.0958879217505455
1619689908.0957987,102400,-0.10011888295412064
1619690030.3618011,104448,-0.1028715968132019
1619690154.4607985,106496,-0.10436548292636871
1619690277.630798,108544,-0.08975653350353241
1619690399.9777985,110592,-0.09909258782863617
1619690524.325883,112640,-0.09972403198480606
1619690651.130553,114688,-0.09835907816886902
1619690774.7947533,116736,-0.07850155979394913
1619690898.7370656,118784,-0.0785185769200325
1619691020.4100356,120832,-0.09901232272386551
1619691142.76577,122880,-0.08787854015827179
1619691264.6547735,124928,-0.08867722004652023
1619691386.3637755,126976,-0.10853169858455658
1619691508.554773,129024,-0.08770439773797989
1619691630.2547708,131072,-0.06829124689102173
1619691757.523722,133120,-0.08515193313360214
1619691879.3977218,135168,-0.09891685843467712
1619692002.189724,137216,-0.08731129765510559
1619692124.6597211,139264,-0.09119416028261185
1619692247.3569934,141312,-0.07791443169116974
1619692369.6159942,143360,-0.09115468710660934
1619692490.8419952,145408,-0.10582620650529861
1619692612.042997,147456,-0.0890730619430542
1619692736.1005993,149504,-0.09546813368797302
1619692858.6174634,151552,-0.0957731381058693
1619692980.129476,153600,-0.09953676164150238
1619693104.8394666,155648,-0.08339530229568481
1619693226.3014634,157696,-0.09780941158533096
1619693347.7574663,159744,-0.1066315621137619
1619693470.770417,161792,-0.12020672857761383
1619693592.6814167,163840,-0.11783140897750854
1619693715.3114479,165888,-0.12273616343736649
1619693837.2164168,167936,-0.12058506906032562
1619693961.9827278,169984,-0.13040679693222046
1619694085.1972506,172032,-0.10449313372373581
1619694212.1894453,174080,-0.10241959989070892
1619694334.3744466,176128,-0.10931003838777542
1619694456.672444,178176,-0.12696832418441772
1619694579.3114455,180224,-0.09339070320129395
1619694703.5427878,182272,-0.11260990798473358
1619694829.4327874,184320,-0.09852875769138336
1619694956.1577902,186368,-0.09049604088068008
1619695079.016787,188416,-0.08970987796783447
1619695203.8137877,190464,-0.08086691051721573
1619695332.2143273,192512,-0.10302150994539261
1619695454.4083264,194560,-0.10038206726312637
1619695576.6553257,196608,-0.09217540174722672
1619695699.3723257,198656,-0.10786951333284378
1619695827.5294492,200704,-0.1001349464058876
