#{"t_start": 1619683782.7541294, "env_id": "seir-v0"}
r,l,t
-0.189179,25,2.123996
-0.249284,25,3.970998
-0.241935,25,5.464997
-0.288576,25,6.817997
-0.409427,25,8.225996
-0.418418,25,9.576999
-0.227203,25,10.951996
-0.202356,25,12.301995
-0.290268,25,13.598995
-0.205179,25,14.944996
-0.258443,25,16.348997
-0.191892,25,17.898995
-0.208774,25,19.218996
-0.24296,25,20.552994
-0.242982,25,21.955995
-0.286339,25,23.383995
-0.25534,25,24.761996
-0.243294,25,26.324995
-0.308835,25,27.821995
-0.343367,25,29.207996
-0.456282,25,30.542996
-0.124298,25,31.958995
-0.199335,25,33.366995
-0.277027,25,34.732997
-0.270731,25,36.072995
-0.46925,25,37.506998
-0.132447,25,38.888996
-0.383461,25,40.385997
-0.252329,25,41.661996
-0.241556,25,43.098997
-0.22174,25,44.447996
-0.45366,25,45.850996
-0.200492,25,47.234995
-0.254554,25,48.639999
-0.260797,25,50.044995
-0.341212,25,51.515997
-0.2142,25,52.870995
-0.234539,25,54.346995
-0.151132,25,55.797294
-0.245901,25,57.316608
-0.242587,25,58.966712
-0.483319,25,60.376114
-0.259376,25,61.805112
-0.428587,25,63.244113
-0.509338,25,64.643114
-0.241243,25,65.965144
-0.293641,25,67.368112
-0.296827,25,68.772115
-0.353977,25,70.191113
-0.392969,25,71.542114
-0.324257,25,73.041114
-0.328673,25,74.426114
-0.308278,25,75.849113
-0.26022,25,77.291114
-0.238026,25,78.766113
-0.435866,25,80.172112
-0.358489,25,81.635112
-0.413225,25,82.986111
-0.344378,25,84.322116
-0.325302,25,85.779113
-0.235714,25,87.142112
-0.208405,25,88.582115
-0.425958,25,90.001113
-0.231121,25,91.397114
-0.150873,25,92.763113
-0.459789,25,94.178113
-0.183432,25,95.478112
-0.275042,25,96.845114
-0.428844,25,98.290113
-0.279788,25,99.625114
-0.316398,25,100.996112
-0.274832,25,102.400116
-0.219787,25,103.997112
-0.554259,25,105.509114
-0.239365,25,106.964115
-0.466931,25,108.416113
-0.203815,25,109.816113
-0.136137,25,111.333112
-0.301454,25,112.688113
-0.409903,25,114.134115
-0.333212,25,115.661114
-0.249622,25,121.409144
-0.292236,25,122.783112
-0.354202,25,124.479114
-0.238934,25,125.991112
-0.377225,25,127.508113
-0.115237,25,128.999115
-0.208625,25,130.412115
-0.248691,25,131.888115
-0.217501,25,133.266112
-0.360366,25,134.738112
-0.13831,25,136.059112
-0.251036,25,137.604113
-0.217684,25,138.971114
-0.170536,25,140.346113
-0.369822,25,141.727113
-0.184451,25,143.174116
-0.16645,25,144.637116
-0.199093,25,146.018112
-0.251348,25,147.365112
-0.22029,25,148.825113
-0.276453,25,150.213113
-0.338036,25,151.699113
-0.388844,25,153.055115
-0.489312,25,154.517112
-0.155695,25,155.976114
-0.169846,25,157.389112
-0.205558,25,158.777113
-0.103172,25,160.062113
-0.364963,25,161.501112
-0.267902,25,162.978112
-0.165665,25,164.408113
-0.324565,25,165.829113
-0.246389,25,167.369115
-0.227276,25,168.727115
-0.235029,25,170.140115
-0.158238,25,171.446112
-0.159724,25,172.890112
-0.181711,25,174.304113
-0.162601,25,175.792112
-0.273023,25,177.356112
-0.338981,25,178.833115
-0.117287,25,180.344114
-0.188938,25,181.744112
-0.275214,25,183.166113
-0.1038,25,184.557144
-0.27037,25,185.986112
-0.213404,25,187.393145
-0.072345,25,188.802112
-0.147972,25,190.283116
-0.242402,25,191.750112
-0.220639,25,193.155114
-0.189141,25,194.508112
-0.26415,25,195.854114
-0.23035,25,197.274114
-0.274822,25,198.648112
-0.444175,25,200.105144
-0.204184,25,201.530112
-0.220927,25,202.917114
-0.302299,25,204.241112
-0.215491,25,205.641116
-0.342325,25,207.036115
-0.192614,25,208.523112
-0.085312,25,209.910114
-0.182707,25,211.375113
-0.294509,25,212.723114
-0.164519,25,214.159114
-0.127535,25,215.555114
-0.12322,25,216.984113
-0.158661,25,218.338113
-0.220263,25,219.780113
-0.278031,25,221.110112
-0.525346,25,222.557115
-0.147524,25,223.972112
-0.20933,25,225.446143
-0.457112,25,226.989113
-0.173572,25,228.404112
-0.287317,25,229.821114
-0.315516,25,231.196143
-0.214047,25,232.655113
-0.09036,25,234.160112
-0.326851,25,235.593114
-0.158406,25,236.978143
-0.23625,25,242.627112
-0.272189,25,244.064114
-0.170043,25,245.578113
-0.115234,25,246.928112
-0.255623,25,248.351114
-0.071739,25,249.631112
-0.261958,25,251.079114
-0.126229,25,252.517116
-0.222814,25,253.981143
-0.135255,25,255.430113
-0.122502,25,256.763115
-0.129728,25,258.135112
-0.308273,25,259.536113
-0.160323,25,260.959113
-0.130154,25,262.411112
-0.12968,25,263.712112
-0.090887,25,265.065113
-0.145736,25,266.389114
-0.515297,25,267.880112
-0.095179,25,269.297114
-0.11546,25,270.627113
-0.527956,25,272.035112
-0.10761,25,273.380112
-0.304274,25,274.782112
-0.129184,25,276.213113
-0.151966,25,277.677113
-0.151271,25,279.051113
-0.145686,25,280.414113
-0.119133,25,281.755116
-0.165781,25,283.235112
-0.272875,25,284.601115
-0.156907,25,286.058113
-0.166644,25,287.438112
-0.509579,25,288.863113
-0.080687,25,290.307114
-0.134834,25,291.742115
-0.320457,25,293.137113
-0.141657,25,294.796113
-0.416984,25,296.195141
-0.133966,25,297.686112
-0.071977,25,298.984113
-0.309434,25,300.455113
-0.122482,25,301.856112
-0.287996,25,303.265112
-0.135461,25,304.663112
-0.134112,25,306.314113
-0.07912,25,307.781114
-0.100521,25,309.266112
-0.385687,25,310.667113
-0.15636,25,312.063144
-0.153217,25,313.448112
-0.190928,25,314.784141
-0.170584,25,316.210113
-0.081659,25,317.585115
-0.1191,25,319.049114
-0.06693,25,320.364113
-0.3817,25,321.780113
-0.149286,25,323.134142
-0.259011,25,324.516112
-0.052063,25,326.018112
-0.140428,25,327.448113
-0.182406,25,328.870112
-0.109832,25,330.260113
-0.205037,25,331.651113
-0.134137,25,333.328114
-0.228047,25,334.821114
-0.051454,25,336.434113
-0.071293,25,337.764114
-0.207489,25,339.086113
-0.127946,25,340.486112
-0.094006,25,341.829118
-0.076545,25,343.257114
-0.392971,25,344.555113
-0.106326,25,345.916115
-0.089222,25,347.387114
-0.144524,25,348.750114
-0.50129,25,350.085113
-0.125508,25,351.708116
-0.131869,25,353.183112
-0.274348,25,354.589144
-0.127227,25,355.913116
-0.152989,25,357.440113
-0.107241,25,363.284114
-0.056234,25,364.626112
-0.051113,25,366.017116
-0.208762,25,367.405112
-0.110867,25,368.796116
-0.065072,25,370.274113
-0.312494,25,371.671115
-0.106504,25,373.071112
-0.21038,25,374.448113
-0.16106,25,375.870112
-0.116051,25,377.235144
-0.234612,25,378.796114
-0.200613,25,380.206116
-0.440087,25,381.592113
-0.32232,25,382.985113
-0.412447,25,384.349113
-0.041715,25,385.761113
-0.163684,25,387.150114
-0.110142,25,388.548113
-0.218081,25,389.968115
-0.170087,25,391.314112
-0.070925,25,392.592114
-0.229045,25,394.088112
-0.324716,25,395.371115
-0.187013,25,396.851113
