#{"t_start": 1619649785.0988872, "env_id": "seir-v0"}
r,l,t
-0.254311,25,1.614014
-0.24831,25,3.031029
-0.252651,25,4.443001
-0.369124,25,5.671999
-0.519489,25,6.925042
-0.558559,25,8.075998
-0.232787,25,9.251002
-0.232933,25,10.421001
-0.176404,25,11.563999
-0.313361,25,12.756998
-0.261589,25,13.985998
-0.261501,25,15.107998
-0.212887,25,16.315001
-0.213285,25,17.496998
-0.26923,25,18.695998
-0.171752,25,19.931027
-0.267979,25,21.192
-0.219783,25,22.420028
-0.26633,25,23.781
-0.346015,25,25.386998
-0.362723,25,26.893998
-0.192117,25,28.064001
-0.218741,25,29.209001
-0.254678,25,30.429999
-0.233035,25,31.578998
-0.495856,25,32.759026
-0.22588,25,33.913001
-0.228491,25,35.093997
-0.269684,25,36.214029
-0.284266,25,37.423029
-0.238764,25,38.482998
-0.45553,25,39.587036
-0.264318,25,40.643001
-0.337911,25,41.759027
-0.268848,25,42.826042
-0.186221,25,43.931998
-0.200442,25,44.983998
-0.250496,25,46.079998
-0.273303,25,47.115997
-0.145998,25,48.219001
-0.216993,25,49.357026
-0.526234,25,50.596028
-0.206749,25,51.682998
-0.442432,25,52.801026
-0.50082,25,53.871998
-0.197495,25,55.001028
-0.242707,25,56.096997
-0.286491,25,57.162998
-0.45327,25,58.297997
-0.249843,25,59.369001
-0.278165,25,60.493027
-0.267152,25,61.562998
-0.300425,25,62.687001
-0.314028,25,63.763
-0.30811,25,64.889001
-0.36981,25,65.962998
-0.266308,25,67.080998
-0.43238,25,68.151998
-0.237862,25,69.273028
-0.483248,25,70.367998
-0.254754,25,71.478998
-0.216799,25,72.545998
-0.492541,25,73.681
-0.272294,25,74.757001
-0.196665,25,75.871997
-0.537572,25,76.932998
-0.188786,25,78.044998
-0.168067,25,79.110998
-0.353671,25,80.23
-0.233356,25,81.340037
-0.315847,25,82.463998
-0.260345,25,83.525
-0.26878,25,84.659001
-0.538736,25,85.725001
-0.415178,25,86.808001
-0.521678,25,87.932
-0.190266,25,89.008039
-0.212501,25,90.136
-0.346964,25,91.217027
-0.307994,25,92.334997
-0.180721,25,93.429997
-0.117106,25,95.651999
-0.293773,25,96.846002
-0.42732,25,98.237
-0.21917,25,99.446998
-0.405047,25,100.565998
-0.18749,25,101.622998
-0.196909,25,102.75
-0.204005,25,103.818038
-0.27209,25,105.030027
-0.354411,25,106.111997
-0.195021,25,107.252998
-0.281856,25,108.309998
-0.163306,25,109.428028
-0.187814,25,110.489998
-0.40592,25,111.618998
-0.217054,25,112.674998
-0.117544,25,113.792001
-0.181184,25,114.865998
-0.314217,25,115.930026
-0.289853,25,117.059026
-0.341452,25,118.130998
-0.335684,25,119.241001
-0.449952,25,120.307998
-0.522011,25,121.420998
-0.17677,25,122.470998
-0.181863,25,123.594016
-0.154302,25,124.659998
-0.197159,25,125.782
-0.348161,25,126.869999
-0.215803,25,128.000033
-0.182667,25,129.068001
-0.304178,25,130.183001
-0.263923,25,131.247001
-0.193701,25,132.375
-0.225024,25,133.433998
-0.159032,25,134.545027
-0.118194,25,135.613997
-0.17689,25,136.722997
-0.160108,25,137.778001
-0.128707,25,138.952031
-0.386889,25,140.088998
-0.149933,25,141.200998
-0.173733,25,142.259997
-0.258157,25,143.339027
-0.189629,25,144.454998
-0.249775,25,145.535028
-0.161998,25,146.665998
-0.093604,25,147.731
-0.151418,25,148.860028
-0.290672,25,149.930997
-0.172726,25,151.050033
-0.219948,25,152.133001
-0.188048,25,153.249001
-0.264755,25,154.325001
-0.185279,25,155.458998
-0.41656,25,156.515998
-0.204125,25,157.650001
-0.195189,25,158.720002
-0.402414,25,159.861028
-0.158427,25,160.934
-0.238769,25,162.046998
-0.239499,25,163.110028
-0.161935,25,164.235998
-0.157441,25,165.373027
-0.296321,25,166.492998
-0.18408,25,167.549998
-0.12951,25,168.671002
-0.140183,25,169.734001
-0.09154,25,170.810027
-0.245045,25,171.942
-0.262056,25,173.023001
-0.497205,25,174.171997
-0.253756,25,175.355998
-0.37707,25,176.472025
-0.473784,25,177.559034
-0.138919,25,178.678998
-0.173596,25,179.744998
-0.263173,25,180.859998
-0.228926,25,181.910997
-0.112216,25,183.064998
-0.404413,25,184.238998
-0.236251,25,185.354001
-0.189811,25,187.404035
-0.293615,25,188.584002
-0.158939,25,189.697998
-0.132561,25,190.807997
-0.230132,25,191.865001
-0.213629,25,192.988998
-0.27345,25,194.059034
-0.14479,25,195.182001
-0.173508,25,196.274027
-0.068425,25,197.397999
-0.112948,25,198.459
-0.208454,25,199.524
-0.248683,25,200.634998
-0.204076,25,201.689998
-0.15628,25,202.815998
-0.18735,25,203.869998
-0.125562,25,205.013
-0.164554,25,206.098027
-0.549065,25,207.227997
-0.172129,25,208.298001
-0.176337,25,209.413998
-0.389119,25,210.478998
-0.124453,25,211.601
-0.345044,25,212.668028
-0.163441,25,213.790001
-0.166679,25,214.863027
-0.166632,25,215.984998
-0.120187,25,217.058998
-0.1078,25,218.227
-0.199544,25,219.296998
-0.31521,25,220.423001
-0.160607,25,221.484998
-0.191387,25,222.603
-0.266396,25,223.678001
-0.10192,25,224.791997
-0.157177,25,225.871027
-0.301076,25,226.946
-0.137072,25,228.113998
-0.353768,25,229.312997
-0.150817,25,230.435027
-0.117522,25,231.51403
-0.367113,25,232.643026
-0.12989,25,233.716998
-0.341029,25,234.833001
-0.194342,25,235.937998
-0.288505,25,237.046998
-0.133907,25,238.12
-0.172353,25,239.239001
-0.360881,25,240.315998
-0.215854,25,241.415999
-0.238828,25,242.476042
-0.237178,25,243.627039
-0.177279,25,244.707027
-0.243098,25,245.818998
-0.165775,25,246.867997
-0.118053,25,247.984998
-0.435803,25,249.043997
-0.243463,25,250.171
-0.292138,25,251.234
-0.13263,25,252.345001
-0.185262,25,253.408027
-0.16764,25,254.464997
-0.206225,25,255.573997
-0.245279,25,256.632
-0.107076,25,257.756001
-0.293904,25,258.834997
-0.098102,25,259.962998
-0.15966,25,261.015998
-0.152239,25,262.131998
-0.13665,25,263.202001
-0.148158,25,264.555998
-0.114761,25,265.715002
-0.327464,25,266.894001
-0.188133,25,267.982998
-0.118967,25,269.100002
-0.211796,25,270.171997
-0.514322,25,271.282998
-0.137424,25,272.384997
-0.161538,25,273.632001
-0.206519,25,274.704016
-0.16988,25,275.829998
-0.222236,25,276.907
-0.206428,25,279.432999
-0.073781,25,280.575
-0.153102,25,281.794997
-0.277568,25,282.856997
-0.195282,25,283.922001
-0.126605,25,285.047001
-0.312752,25,286.127
-0.133374,25,287.251001
-0.259113,25,288.315997
-0.201407,25,289.434998
-0.166981,25,290.493001
-0.268472,25,291.632998
-0.296515,25,292.687997
-0.490746,25,293.809027
-0.470598,25,294.897043
-0.436618,25,296.027001
-0.08048,25,297.095
-0.261263,25,298.448034
-0.172366,25,299.514998
-0.233998,25,300.624998
-0.212744,25,301.678998
-0.139452,25,302.783998
-0.295581,25,303.842998
-0.341541,25,304.950997
-0.22235,25,306.003998
-0.308297,25,307.129997
-0.162316,25,308.182997
-0.039558,25,309.289998
-0.432537,25,310.346998
-0.196843,25,311.399997
-0.147786,25,312.503997
-0.149812,25,313.57
-0.09381,25,314.704027
-0.19128,25,315.752997
-0.147229,25,316.863997
-0.229542,25,318.009003
-0.144837,25,319.217998
-0.168744,25,320.306027
-0.096444,25,321.424998
-0.234909,25,322.490998
-0.186839,25,323.618003
-0.199383,25,324.704
-0.468838,25,325.836998
-0.232094,25,326.924998
-0.241972,25,328.054026
-0.270701,25,329.147998
-0.263463,25,330.273998
-0.155504,25,331.341027
-0.161285,25,332.489001
-0.079536,25,333.565027
-0.103155,25,334.708027
-0.08186,25,335.776998
-0.271147,25,336.905998
-0.077213,25,338.018001
-0.337032,25,339.110027
-0.101122,25,340.256001
-0.339122,25,341.343001
-0.20117,25,342.487042
-0.20718,25,343.568001
-0.437769,25,344.699028
-0.42792,25,345.771998
-0.120489,25,346.893997
-0.31938,25,347.973998
-0.116052,25,349.118998
-0.081601,25,350.205027
-0.114206,25,351.354999
-0.038076,25,352.430043
-0.181599,25,353.572998
-0.215989,25,354.667001
-0.357785,25,355.788997
-0.238711,25,356.865998
-0.157362,25,358.161027
-0.106494,25,359.258001
-0.216963,25,360.411997
-0.150183,25,361.475998
-0.15335,25,362.638027
-0.205322,25,363.798
-0.138558,25,364.933031
-0.14266,25,365.998028
-0.14874,25,367.08
-0.137832,25,368.197001
-0.130463,25,369.269998
-0.332965,25,371.538005
-0.226536,25,372.635
-0.341145,25,373.761027
-0.184576,25,374.821998
-0.080692,25,375.932998
-0.27164,25,376.994027
-0.120667,25,378.122004
-0.098928,25,379.178998
-0.098122,25,380.306001
-0.057742,25,381.366028
-0.304539,25,382.501002
-0.081621,25,383.571001
-0.072216,25,384.700027
-0.175067,25,385.762997
-0.212018,25,386.911028
-0.047207,25,387.986998
-0.185195,25,389.112
-0.08114,25,390.189
-0.312337,25,391.339998
-0.129043,25,392.405
-0.202571,25,393.554027
-0.039685,25,394.642001
-0.277562,25,395.706
-0.172105,25,396.896999
-0.285882,25,398.098001
-0.17827,25,399.222997
