#{"t_start": 1620329402.9188337, "env_id": "seir-cd-v0"}
r,l,t
-0.164677,25,2.555062
-0.218243,25,4.88557
-0.211964,25,6.963722
-0.242486,25,9.136802
-0.353286,25,11.416856
-0.372925,25,13.561459
-0.197476,25,15.772149
-0.176047,25,17.929227
-0.253632,25,20.110274
-0.179106,25,22.206855
-0.221653,25,24.393635
-0.168192,25,26.538276
-0.183466,25,28.740741
-0.213498,25,30.999549
-0.201176,25,33.148516
-0.25154,25,35.446756
-0.217749,25,37.612171
-0.208983,25,39.84498
-0.270494,25,41.971823
-0.280959,25,44.265434
-0.375883,25,46.340079
-0.109159,25,48.517151
-0.174414,25,50.737493
-0.243374,25,53.077935
-0.236922,25,55.217489
-0.403411,25,57.549475
-0.11637,25,59.794347
-0.325956,25,64.669405
-0.215748,25,66.804352
-0.206661,25,69.075516
-0.189715,25,71.25184
-0.375109,25,73.640728
-0.172697,25,75.781319
-0.222167,25,77.939872
-0.228694,25,80.198228
-0.295685,25,82.383845
-0.187632,25,84.560234
-0.20394,25,86.676108
-0.132018,25,88.82885
-0.212788,25,91.040866
-0.213221,25,95.953027
-0.389896,25,98.210708
-0.226602,25,100.46065
-0.379723,25,102.754132
-0.412949,25,104.992472
-0.208934,25,107.219997
-0.258077,25,109.428558
-0.255931,25,111.797777
-0.302871,25,114.033707
-0.333502,25,116.346273
-0.274077,25,118.489089
-0.278982,25,120.801087
-0.269092,25,122.923066
-0.223668,25,125.212178
-0.200924,25,127.234876
-0.365345,25,129.474883
-0.307685,25,131.692651
-0.346099,25,133.970795
-0.299906,25,136.191621
-0.284412,25,138.381366
-0.202455,25,140.523738
-0.183176,25,142.650581
-0.363707,25,144.932585
-0.208918,25,147.039484
-0.132396,25,149.289846
-0.396802,25,151.504404
-0.161096,25,153.701564
-0.241119,25,155.906828
-0.357712,25,158.118364
-0.243833,25,160.457402
-0.2726,25,162.633934
-0.240481,25,164.824422
-0.190138,25,166.88095
-0.462123,25,169.122127
-0.199697,25,171.274719
-0.400152,25,173.426084
-0.178016,25,175.624882
-0.11966,25,177.750519
-0.253972,25,179.837094
-0.349666,25,182.105635
-0.289565,25,184.148084
-0.217168,25,191.376238
-0.244749,25,193.600278
